sentiment,news
pos,The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .
pos,"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 ."
pos,"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % ."
pos,"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars ."
pos,"`` They would invest not only in the physical infrastructure , but would also provide know-how for managing and developing science and technology parks , '' said Sunrise Valley director Andrius Bagdonas ."
pos,"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 ."
pos,Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .
pos,Finnish Bank of +_land 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .
pos,"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 ."
pos,"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier ."
pos,Net sales of Finnish food industry company L+?nnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .
pos,An individual promotion also generated slightly higher-than-expected revenues .
pos,Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .
pos,"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 ."
pos,Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .
pos,Clothing chain Sepp+?l+?'s net sales increased by 7.0 % to EUR 30.8 mn .
pos,Construction volumes meanwhile grow at a rate of 10-15 percent annually .
pos,Finnish and Swedish construction markets are still experiencing an estimated 4 % annual growth in 2008 .
pos,"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 ."
pos,"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year ."
pos,"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 ."
pos,"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 ."
pos,"International sales rose by 59.8 % to EUR 1,244.4 mn ."
pos,Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .
pos,Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .
pos,"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces ."
pos,"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 ."
pos,"Nokia also noted the average selling price of handsets declined during the period , though its mobile phone profit margin rose to more than 22 percent from 13 percent in the year-ago quarter ."
pos,Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .
pos,Operating profit margin increased from 11.2 % to 11.7 % .
pos,Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .
pos,Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .
pos,"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn ."
pos,"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year ."
pos,"Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million ."
pos,Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply 24 suction anchors in September 2010 from its Kalajoki unit in Finland .
pos,"Ruukki 's delivery volumes and selling prices showed favourable development and the company 's comparable net sales grew by 50 % year-on-year to EUR647m , CEO Sakari Tamminen said ."
pos,Sanoma Magazines ' net sales are estimated to grow in 2006 .
pos,The bank forecasts Finland 's GDP will grow by 2 % in 2010 and in 2011 .
pos,"The circuit 's overall production rate on a weekly basis is now in excess of an average of 40,000 tonnes per day , with volumes in excess of 50,000 tonnes per day being reached on individual days ."
pos,"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year ."
pos,The Department Store Division reported an increase in sales of 4 per cent .
pos,The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago .
pos,"The last quarter was the best quarter of 2009 in net sales , and the operating margin rose to 12.2 % ."
pos,"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 ."
pos,"The transaction doubles Tecnomens workforse , and adds a fourth to their net sales ."
pos,- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .
pos,"`` After this purchase , Cramo will become the second largest rental services provider in the Latvian market ."
pos,"`` The priority for 2009 was to strengthen the company 's balance sheet and increase cash flow , '' CEO Hannu Krook said ."
pos,`` The purchase of the operations is part of YIT 's strategy to expand its offering of building system services geographically . ''
pos,21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .
pos,"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months ."
pos,Finnish Aldata Solution has signed a contract of supply its G.O.L.D. system to two French retail chains .
pos,Finnish Bank of +_land reports its operating profit rose to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008 .
pos,Finnish financial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 .
pos,Finnish forest machinery manufacturer Ponsse 's net sales grew to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the corresponding period in 2009 .
pos,Finnish KCI Konecranes has raised its net sales growth estimate for 2006 from over 25 % to over 35 % .
pos,Finnish Okmetic that manufactures and processes silicon wafers for the semiconductor and sensor industries and Norwegian solar wafer company NorSun have signed a contract under which Okmetic will supply NorSun mono silicon crystals for use in solar cell manufacturing .
pos,Finnish pharmaceuticals company Orion 's net sales rose to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .
pos,"Finnish Ponsse has signed an agreement with Babcock Africa for the distribution and support of Ponsse forest machines , harvester heads , and information systems in South Africa ."
pos,South African Sappi will become the largest foreign forest industry company operating in Finland as a result of the acquisition Finnish M-real Corporation 's Graphic Papers Business unit .
pos,According to Deputy MD Pekka Silvennoinen the aim is double turnover over the next three years .
pos,"According to HKScan Finland , the plan is to increase J+?rvi-Suomen Portti 's net sales to EUR 80mn to EUR 100mn ."
pos,"Advertising and circulation revenues grew by 3.4 % and by 0.4 % , respectively ."
pos,"After the takeover , Cramo will become the second largest rental services provider in the Latvian market ."
pos,"Again , the most significant sales increase of 18.6 % was in Russia ."
pos,Alma Media expects its net sales to increase as forecast previously .
pos,Also Lemmink+?inen 's profit for accounting period went up to EUR 3.1 mn from EUR -24.5 mn a year ago .
pos,"At the end of March 2007 , the group 's order book was at EUR 39.6 mn , up 42 % from the corresponding period in 2006 ."
pos,"At the same time profit of the company increased by 10 % in H1 and reached Ls 79,000 ."
pos,"Besides we have increased the share of meat in various sausages and are offering a number of new tastes in the grill products and shish kebabs segment , '' Paavel said ."
pos,"Both operating profit and net sales for the 12-month period increased , respectively from EUR10 .5 m and EUR28 .8 m , as compared to the financial year 2004 ."
pos,"Both operating profit and net sales for the 12-month period increased , respectively from EUR20 .8 m and EUR177 .7 m , as compared to the financial year 2004 ."
pos,"Both operating profit and net sales for the 12-month period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 ."
pos,"Both operating profit and net sales for the 12-month period increased , respectively from EUR4 .7 m and EUR26 .7 m , as compared to 2004 ."
pos,"Both operating profit and net sales for the nine-month period increased , respectively by 26.6 % and 3.4 % , as compared to the corresponding period in 2006 ."
pos,"Both operating profit and net sales for the six-month period increased , respectively , from EUR13 .8 m and EUR143 .6 m , as compared to the corresponding period in 2007 ."
pos,"Both operating profit and net sales for the six-month period increased , respectively from EUR0 .4 m and EUR3 .2 m , as compared to the corresponding period in 2005 ."
pos,"Both operating profit and net sales for the six-month period increased , respectively from EUR18 .1 m and EUR127 .6 m , as compared to the corresponding period in 2006 ."
pos,"Both operating profit and net sales for the six-month period increased , respectively from EUR7 .5 m and EUR655 .5 m , as compared to the corresponding period in 2005 ."
pos,"Both operating profit and net sales for the three-month period increased , respectively from EUR15 .1 m and EUR131 .5 m , as compared to the corresponding period in 2005 ."
pos,"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 ."
pos,"Both operating profit and sales for the three-month period increased , respectively from EUR0 .3 m and EUR13 .1 m , as compared to the corresponding period in 2005 ."
pos,"Both operating profit and turnover for the nine-month period increased , respectively from EUR2 .4 m and EUR43 .8 m , as compared to the corresponding period a year ago ."
pos,"Both operating profit and turnover for the six-month period increased , respectively , from EUR17 .6 m and EUR1149 .9 m , as compared to the corresponding period in 2007 ."
pos,"Both operating profit and turnover for the six-month period increased , respectively from EUR0 .1 m and EUR29 .0 m , as compared to the corresponding period a year ago ."
pos,Cargo volume grew by 7 % .
pos,Cargo volume increased by approximately 5 % .
pos,"comparable operating profit totaled EUR 854mn , up from EUR 730mn in 2004 ."
pos,"Digia said its consolidated net sales for January-June 2010 were EUR67 .8 m , up 9.7 % on the same period in 2009 ( EUR61 .9 m ) ."
pos,Diluted earnings per share ( EPS ) rose to EUR 0.29 from EUR 0.05 .
pos,Diluted earnings per share ( EPS ) rose to EUR 0.52 versus EUR 0.09 .
pos,Diluted earnings per share ( EPS ) rose to EUR 1.05 from EUR 0.64 .
pos,Diluted earnings per share ( EPS ) rose to EUR 3.68 from EUR 0.50 .
pos,Diluted EPS rose to EUR3 .68 from EUR0 .50 .
pos,EBIT margin was up from 1.4 % to 5.1 % .
pos,"EPS for the quarter was EUR0 .00 , as compared with EUR0 .01 in the third quarter of 2008 , representing a Group net sales for the third quarter were EUR15 .3 m , up by 2.8 % as compared with EUR14 .9 m in the third quarter of 2008 ."
pos,"EPS from continuing operations came in at 0.30 eur , up from 0.17 ."
pos,"Equity ratio was 60.9 % compared to 54.2 % In the third quarter of 2007 , net sales of the Frozen Foods Business totaled EUR 11.0 , up by about 5 % from the third quarter of 2006 ."
pos,"EUR928 ,000 in Q1 2010 6 May 2010 - Finnish textile and clothing design company Marimekko Oyj ( HEL : MMO1V ) said today its net profit rose to EUR928 ,000 in the first quarter of 2010 from EUR13 ,000 in the corresponding period a year earlier ."
pos,"Finland-based Elcoteq SE , a privately held provider of electronics manufacturing services to communications companies , said Thursday it signed a long-term manufacturing supply deal with communications equipment company Andrew Corp. ."
pos,Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit rose to EUR 24.1 million ( USD 33.6 m ) in the third quarter of 2010 from EUR 17.9 million a year earlier .
pos,Finnish department store chain Stockmann Oyj Abp net profit rose to 39.8 mln euro ( $ 56.8 mln ) for the first nine months of 2007 from 37.4 mln euro ( $ 53.4 mln ) for the same period of 2006 .
pos,"Finnish lifting equipment maker Konecranes Oyj said on July 30 , 2008 that its net profit rose to 71.2 mln euro ( $ 111.1 mln ) for the first half of 2008 from 57.1 mln euro ( $ 89.1 mln ) for the same period of 2007 ."
pos,Finnish messaging solutions developer Tecnomen Corporation ( OMX Helsinki : TEM1V ) said on Thursday ( 11 December ) that it has received an expansion order for its Convergent Charging solution in Latin America .
pos,Finnish metal industry solutions supplier Outotec Oyj net profit rose to 50.4 mln euro ( $ 72.5 mln ) for the first nine months of 2007 from 20.1 mln euro ( $ 28.9 mln ) for the same period of 2006 .
pos,Finnish metal products company Componenta Oyj net profit rose to 26.1 mln euro ( $ 35.9 mln ) for the first quarter of 2007 from 5.3 mln euro ( $ 7.3 mln ) for the same period of 2006 .
pos,Finnish office supplies and computer accessories dealer Beltton-Group Plc said its net profit rose to 1.3 mln euro ( $ 1.7 mln ) in 2006 from 1.13 mln euro ( $ 1.5 mln ) in 2005 .
pos,"Finnish security and privacy software solutions developer Stonesoft Oyj said on January 7 , 2008 that the preliminary sales of its StoneGate products grew by 59 pct year-on-year to 3.6 mln euro ( $ 5.3 mln ) for the fourth quarter of 2007 ."
pos,"Finnish silicon wafer technology company Okmetic Oyj ( OMX Helsinki : OKM1V ) reported on Thursday ( 7 August ) an operating profit of EUR5 .3 m for the period January-June 2008 , up from EUR3 .3 m in the corresponding period in 2007 ."
pos,Finnish software developer Done Solutions Oyj said its net profit increased to 3.5 mln euro ( $ 4.6 mln ) in 2006 from 2.3 mln euro ( $ 3.0 mln ) in 2005 .
pos,First quarter underlying operating profit rose to 41 mln eur from 33 mln a year earlier .
pos,"Following the acquisition , Relacom will strengthen its presence in Finland , serving operators and office market with mobile and fixed networks construction , installation and maintenance services ."
pos,"For the first nine months of 2010 , the company 's net profit rose to EUR41m from EUR30m for the corresponding period of 2009 ."
pos,"HELSINKI ( AFX ) - Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an increase of 10.8 pct year-on-year ."
pos,"However , net sales in 2010 are seen to have grown to EUR598 .3 m from EUR582 .3 m in 2009 ."
pos,"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said ."
pos,"Ragutis , which is controlled by the Finnish brewery , reported a 5.4-per-cent rise in beer sales to 10.44 million litres and held an 11.09-per-cent market share ."
pos,"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 4.7-per-cent growth in beer sales for January-May to 46.22 million litres ."
pos,"In addition , Kone signed a two-year maintenance contract for the escalators ."
pos,"In December alone , the members of the Lithuanian Brewers ' Association sold a total of 20.3 million liters of beer , an increase of 1.9 percent from the sales of 19.92 million liters in December 2004 ."
pos,"In January-September 2009 , the Group 's net interest income increased to EUR 112.4 mn from EUR 74.3 mn in January-September 2008 ."
pos,"In Q1 of 2010 , Bank of +_land 's net interest income increased from EUR 9.1 mn to EUR 9.7 mn ."
pos,"In Sweden , operating profit for the period under review totaled EUR 3.4 mn , up 30.8 % from the corresponding period in 2005 ."
pos,"In the fourth quarter of 2009 , Orion 's net profit went up by 33.8 % year-on-year to EUR33m ."
pos,"In the second quarter of 2010 , the group 's net profit rose to EUR 3.1 million from EUR 2.5 million in April-June 2009 ."
pos,"In the second quarter of 2010 , the group 's net profit rose to EUR3 .1 m from EUR2 .5 m in April-June 2009 ."
pos,"In the third quarter , net sales increased by 12 % year-on-year to EUR 159.5 million , or by 6 % at comparable currency rates growth ."
pos,"In the third quarter , net sales increased by 12 % year-on-year to EUR159 .5 m , or by 6 % at comparable currency rates growth ."
pos,Its market share widened to 48.51 percent from 48.31 percent a year earlier .
pos,"Kesko Agro Eesti , the retailer and wholesaler of grain , agricultural and warehousing machinery and accessories , had net sales of 81 million euros in 2007 , an increase by one-tenth over the preceding year ."
pos,"Kesko 's car import and retailing business , VV-Auto , saw sales grow by 17.1 pct ."
pos,Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .
pos,"( ADP News ) - Feb 11 , 2009 - Finnish management software solutions provider Ixonos Oyj ( HEL : XNS1V ) said today its net profit rose to EUR 3.5 million ( USD 4.5 m ) for 2008 from EUR 3.1 million for 2007 ."
pos,"( ADP News ) - Feb 12 , 2009 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today its net profit rose to EUR 8.5 million ( USD 11m ) in 2008 from EUR 7 million in 2007 ."
pos,"( ADP News ) - Feb 6 , 2009 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007 ."
pos,"( ADP News ) - Nov 5 , 2008 - Finnish electronic measurement products and solutions maker Vaisala Oyj ( OMX : VAIAS ) said today that its net profit rose to EUR 18 million ( USD 23.1 m ) for the first nine months of 2008 from EUR 1"
pos,"( ADP News ) - Oct 29 , 2008 - Finnish lifting equipment maker Konecranes Oyj ( OMX : KCR1V ) said today that its net profit rose to EUR 116.6 million ( USD 149.1 m ) in the first nine months of 2008 from EUR 73.6 million for the s"
pos,"Metso expects its net sales to increase by about 10 % in 2008 , at comparable exchange rates ."
pos,"Neste Oil Corp. has signed long-term procurement contracts with Honkajoki Oy and Findest Protein Oy , both owned by Finnish food manufacturers , for the supply of animal fat for biodiesel production at Neste 's 200,000 b-cd Porvoo , Finland , refinery ."
pos,Net interest income increased by 4.5 % to EUR 31.4 mn from EUR 30.0 mn in 2004 .
pos,"Net interest income was EUR 152.2 mn , up from EUR 101.0 mn in 2008 ."
pos,"Net interest income was EUR 39.3 mn , up from EUR 32.7 mn ."
pos,Net sales of the Vegetable Oil Business rose to EUR 10.6 mn from EUR 10.1 mn .
pos,"Nokia Multimedia 's net sales totaled EUR 5.7 bn , up 45 % from the corresponding period in 2005 ."
pos,Operating income rose to EUR 696.4 mn from EUR 600.3 mn in 2009 .
pos,"Operating profit of Kauppalehti group rose to EUR 1.5 mn from EUR 1.3 mn , and that of Marketplaces to EUR 1.3 mn from EUR 1.0 mn in the third quarter of 2006 ."
pos,Operating profit rose from EUR 1.94 mn to EUR 2.45 mn .
pos,Operating profit rose to 22.1 mln eur from 19.9 mln .
pos,Operating profit rose to EUR 1.6 mn from EUR 1.1 mn in the corresponding period in 2006 .
pos,Operating profit rose to EUR 103.4 mn from EUR 23.2 in the corresponding period in 2006 .
pos,Operating profit rose to EUR 13.5 mn from EUR 9.7 mn in the corresponding period in 2006 .
pos,Operating profit rose to EUR 26.7 mn from EUR 14.9 mn in the corresponding period in 2006 .
pos,Operating profit rose to EUR 27.8 mn from EUR 17.5 mn in 2008 .
pos,Operating profit rose to EUR 3.2 mn from EUR 1.0 mn in the corresponding period in 2008 .
pos,Operating profit rose to EUR 4.7 mn from EUR 3.6 mn .
pos,Operating profit rose to EUR 4.7 mn from EUR 4.6 mn .
pos,Operating profit rose to EUR 9.2 mn from EUR 6.8 mn in the corresponding period in 2007 .
